time,temp_europe_daily,humidity_europe_daily
2012-01-01,6.241891891891893,87.9054054054054
2012-01-08,5.912741312741312,81.67953667953668
2012-01-15,3.9353281853281854,81.90926640926641
2012-01-22,3.0664092664092664,83.27799227799228
2012-01-29,1.075096525096525,80.54440154440155
2012-02-05,-5.617567567567568,68.9034749034749
2012-02-12,-5.823166023166023,70.59073359073359
2012-02-19,1.1563706563706564,81.7065637065637
2012-02-26,4.517181467181468,78.45945945945947
2012-03-04,5.875482625482626,80.62934362934364
2012-03-11,4.864671814671815,70.9942084942085
2012-03-18,8.381467181467182,74.7953667953668
2012-03-25,9.794401544401543,71.3880308880309
2012-04-01,9.858494208494209,64.78185328185329
2012-04-08,8.5,73.51544401544402
2012-04-15,9.000193050193051,72.75096525096525
2012-04-22,9.734749034749035,72.2934362934363
2012-04-29,13.2465250965251,71.55984555984557
2012-05-06,14.744015444015444,72.13899613899615
2012-05-13,15.971235521235522,69.32432432432434
2012-05-20,14.045559845559847,65.08687258687259
2012-05-27,18.423552123552124,64.86486486486487
2012-06-03,17.18243243243243,65.91891891891892
2012-06-10,17.377413127413128,67.14864864864865
2012-06-17,18.338223938223937,67.18146718146718
2012-06-24,20.54111969111969,64.82625482625483
2012-07-01,21.18146718146718,64.73552123552123
2012-07-08,22.324324324324326,65.96138996138997
2012-07-15,20.677799227799227,64.88416988416989
2012-07-22,20.296525096525098,60.92664092664093
2012-07-29,23.180888030888035,61.45366795366795
2012-08-05,22.39749034749035,60.43436293436293
2012-08-12,21.666602316602315,59.749034749034756
2012-08-19,22.41911196911197,61.52123552123552
2012-08-26,23.068146718146718,61.63899613899614
2012-09-02,19.62393822393822,60.554054054054056
2012-09-09,19.152316602316603,64.67953667953668
2012-09-16,18.088416988416988,65.45752895752896
2012-09-23,16.205405405405404,67.2934362934363
2012-09-30,15.973938223938223,73.77606177606177
2012-10-07,15.322779922779924,75.75096525096525
2012-10-14,12.602316602316604,79.36100386100387
2012-10-21,13.58050193050193,79.59073359073359
2012-10-28,10.853281853281853,79.6776061776062
2012-11-04,8.193050193050194,83.87258687258688
